client_id;client_country;join_date;segment
--58375-EURO;IT;2003-11-14;Ret-E
--61050-EURO;IT;2003-12-04;Ret-E
--6190-EURO;IT;2000-02-18;Ret-E
--72878-EURO;IT;2004-03-08;Ret-E
--7589-EURO;IT;1999-04-22;Ret-E
--82920-EURO;IT;2004-05-27;Ret-E
--71947-EURO;IT;2004-03-01;Ret-E
--92093-EURO;IT;2004-08-30;Ret-E
--97646-EURO;IT;2004-10-18;Ret-E
A1726-EURO;IT;2022-01-20;Ret-E
A1733-EURO;IT;2022-04-13;Ret-E
A1150-EURO;IT;2016-02-09;Ret-E
A1673-EURO;IT;2019-10-29;Ret-E
A1694-EURO;GB;2020-10-13;Ret-E
AA10393-EURO;IT;2009-07-30;Ret-E
AA10045-EURO;IT;2009-04-02;Ret-E
AA10116-EURO;IT;2009-04-27;Ret-E
AA10897-EURO;IT;2010-02-10;Ret-E
AA11077-EURO;IT;2010-03-24;Ret-E
AA11101-EURO;IT;2010-03-31;Ret-E
AA10812-EURO;IT;2010-01-12;Ret-E
AA1083-EURO;IT;2002-06-21;Ret-E
AA21763-EURO;IT;2016-03-04;Ret-E
AA21765-EURO;IT;2016-03-05;Ret-E
AA15590-EURO;IT;2013-11-15;Ret-E
AA15617-EURO;IT;2013-11-26;Ret-E
AA11266-EURO;IT;2010-05-11;Ret-E
AA17697-EURO;IT;2015-06-04;Ret-E
AA17703-EURO;IT;2015-06-05;Ret-E
AA13339-EURO;IT;2011-12-21;Ret-E
AA15639-EURO;IT;2013-12-04;Ret-E
AA15693-EURO;IT;2014-01-09;Ret-E
AA17856-EURO;IT;2015-07-06;Ret-E
AA13475-EURO;IT;2012-02-02;Ret-E
AA13541-EURO;IT;2012-02-20;Ret-E
AA15811-EURO;IT;2014-02-12;Ret-E
AA15831-EURO;IT;2014-02-18;Ret-E
AA15889-EURO;IT;2014-02-27;Ret-E
AA15898-EURO;IT;2014-03-02;Res
AA11542-EURO;IT;2010-07-22;Res
AA11577-EURO;IT;2010-07-25;Ret-E
AA17962-EURO;IT;2015-08-02;Ret-E
AA13557-EURO;IT;2012-02-23;Ret-E
AA13600-EURO;IT;2012-03-12;Ret-E
AA13647-EURO;IT;2012-03-20;obp
AA1602-EURO;IT;2003-05-08;Ret-E
AA16068-EURO;IT;2014-04-15;Ret-E
AA11649-EURO;IT;2010-08-05;Ret-E
AA11654-EURO;IT;2010-08-06;Ret-E
AA18112-EURO;IT;2015-09-04;Ret-E
AA18159-EURO;IT;2015-09-12;Ret-E
AA13724-EURO;IT;2012-04-28;Ret-E
AA13785-EURO;CH;2012-05-18;Ret-E
AA13794-EURO;IT;2012-05-23;Ret-E
AA16123-EURO;IT;2014-05-09;Ret-E
AA11682-EURO;IT;2010-08-24;Ret-E
AA1177-EURO;IT;2001-05-23;Res
AA18410-EURO;IT;2015-09-26;Ret-E
AA16237-EURO;IT;2014-06-25;Ret-E
AA16253-EURO;IT;2014-07-04;Ret-E
AA16307-EURO;IT;2014-07-25;Ret-E
AA11899-EURO;IT;2010-10-20;Ret-E
AA11959-EURO;IT;2010-11-02;obp
AA11963-EURO;IT;2010-11-03;Ret-E
AA18511-EURO;IT;2015-10-06;Res
AA18670-EURO;IT;2015-10-07;Ret-E
AA18687-EURO;SK;2015-10-09;obp
AA18692-EURO;IT;2015-10-09;Ret-E
AA18709-EURO;IT;2015-10-12;Ret-E
AA16428-EURO;IT;2014-09-15;Ret-E
AA11968-EURO;IT;2010-11-06;Ret-E
AA12119-EURO;IT;2010-12-15;Ret-E
AA18753-EURO;IT;2015-10-16;Ret-E
AA14197-EURO;IT;2012-10-25;Ret-E
AA1214-EURO;IT;2002-09-25;Ret-E
AA12200-EURO;IT;2011-01-05;Res
AA12317-EURO;IT;2011-02-02;Ret-E
AA19005-EURO;IT;2015-11-10;Ret-E
AA19691-EURO;IT;2015-11-12;Ret-E
AA19694-EURO;IT;2015-11-12;Ret-E
AA14330-EURO;IT;2012-12-05;Ret-E
AA14347-EURO;IT;2012-12-07;Ret-E
AA14351-EURO;IT;2012-12-10;Ret-E
AA14360-EURO;IT;2012-12-14;Ret-E
AA14421-EURO;IT;2013-01-14;Ret-E
AA16642-EURO;CH;2014-11-10;Ret-E
AA16652-EURO;IT;2014-11-11;Ret-E
AA16655-EURO;IT;2014-11-11;obp
AA16685-EURO;IT;2014-11-18;Ret-E
AA19802-EURO;IT;2015-11-20;Ret-E
AA19845-EURO;IT;2015-11-26;Ret-E
AA19847-EURO;IT;2015-11-26;Ret-E
AA1994-EURO;IT;2003-07-02;Ret-E
AA14473-EURO;IT;2013-01-27;Ret-E
AA14498-EURO;IT;2013-01-29;Ret-E
AA16799-EURO;IT;2014-12-15;Ret-E
AA16904-EURO;IT;2015-01-08;Ret-E
AA16909-EURO;NULL;2015-01-10;Ret-E
AA12511-EURO;IT;2011-04-04;Ret-E
AA12518-EURO;IT;2011-04-04;Ret-E
AA12560-EURO;IT;2011-04-18;Ret-E
AA12627-EURO;IT;2011-05-04;Ret-E
AA19993-EURO;IT;2015-12-06;Ret-E
AA20014-EURO;IT;2015-12-09;Ret-E
AA20024-EURO;IT;2015-12-10;Res
AA20060-EURO;IT;2015-12-14;Ret-E
AA20172-EURO;IT;2015-12-16;Ret-E
AA14613-EURO;IT;2013-02-23;Ret-E
AA16968-EURO;IT;2015-01-22;Ret-E
AA20423-EURO;IT;2016-01-08;Ret-E
AA20432-EURO;IT;2016-01-09;Ret-E
AA20435-EURO;IT;2016-01-09;Ret-E
AA1486-EURO;IT;2003-02-24;Ret-E
AA17036-EURO;IT;2015-02-04;Ret-E
AA17074-EURO;IT;2015-02-12;Ret-E
AA17129-EURO;IT;2015-02-15;Ret-E
AA17182-EURO;IT;2015-02-23;Ret-E
AA20863-EURO;IT;2016-01-18;Ret-E
AA20918-EURO;IT;2016-01-19;Ret-E
AA20981-EURO;IT;2016-01-20;Ret-E
AA15015-EURO;IT;2013-06-12;Ret-E
AA17282-EURO;IT;2015-03-16;Ret-E
AA17337-EURO;IT;2015-03-22;Ret-E
AA13043-EURO;IT;2011-10-10;Res
AA13056-EURO;IT;2011-10-13;Ret-E
AA17436-EURO;IT;2015-04-13;Ret-E
AA13082-EURO;IT;2011-10-21;Ret-E
AA21188-EURO;IT;2016-02-05;Ret-E
AA21201-EURO;IT;2016-02-05;Ret-E
AA21369-EURO;IT;2016-02-10;Ret-E
AA21499-EURO;IT;2016-02-16;Ret-E
AA15262-EURO;IT;2013-08-04;Ret-E
AA17550-EURO;IT;2015-05-05;Ret-E
AA17560-EURO;IT;2015-05-07;Ret-E
AA13178-EURO;IT;2011-11-15;Ret-E
AA1321-EURO;IT;2002-11-25;Ret-E
AA21625-EURO;IT;2016-02-23;Ret-E
AA15342-EURO;TN;2013-09-04;Res
AA15440-EURO;IT;2013-10-02;Ret-E
AA17623-EURO;IT;2015-05-20;Ret-E
AA17630-EURO;IT;2015-05-20;Ret-E
AA17640-EURO;IT;2015-05-21;Ret-E
AA17644-EURO;IT;2015-05-24;Ret-E
AA17652-EURO;IT;2015-05-25;Ret-E
AA17654-EURO;IT;2015-05-26;Ret-E
AA23919-EURO;IT;2016-10-04;Ret-E
AA23948-EURO;IT;2016-10-07;Ret-E
AA29958-EURO;IT;2018-01-24;Ret-E
AA29971-EURO;IT;2018-01-25;Ret-E
AA2999-EURO;IT;2004-06-17;Ret-E
AA30013-EURO;IT;2018-01-28;Ret-E
AA30036-EURO;IT;2018-01-31;Ret-E
AA26249-EURO;IT;2017-02-24;Ret-E
AA26280-EURO;IT;2017-03-01;Ret-E
AA26283-EURO;IT;2017-03-01;Ret-E
AA263-EURO;IT;2000-01-14;Ret-E
AA28175-EURO;IT;2017-08-05;Ret-E
AA28220-EURO;IT;2017-08-10;Ret-E
AA23989-EURO;IT;2016-10-10;Ret-E
AA24134-EURO;IT;2016-10-25;Ret-E
AA22350-EURO;IT;2016-04-08;Ret-E
AA22369-EURO;IT;2016-04-12;Ret-E
AA28306-EURO;IT;2017-08-18;Ret-E
AA28334-EURO;IT;2017-08-23;Ret-E
AA28345-EURO;IT;2017-08-26;Ret-E
AA28375-EURO;IT;2017-08-30;Ret-E
AA24180-EURO;IT;2016-10-26;Ret-E
AA26426-EURO;IT;2017-03-16;Ret-E
AA2651-EURO;IT;2003-12-07;Ret-E
AA26511-EURO;IT;2017-03-22;Res
AA22386-EURO;IT;2016-04-15;obp
AA28435-EURO;IT;2017-09-05;Ret-E
AA28480-EURO;IT;2017-09-08;Res
AA24187-EURO;IT;2016-10-26;Ret-E
AA24286-EURO;IT;2016-10-27;Ret-E
AA26572-EURO;IT;2017-03-28;Ret-E
AA2659-EURO;IT;2003-12-09;Ret-E
AA26595-EURO;IT;2017-03-31;Ret-E
AA26625-EURO;IT;2017-04-03;Ret-E
AA26629-EURO;IT;2017-04-03;Ret-E
AA22512-EURO;CH;2016-05-03;obp
AA22522-EURO;IT;2016-05-04;Ret-E
AA22605-EURO;IT;2016-05-12;Ret-E
AA28550-EURO;IT;2017-09-18;Ret-E
AA24308-EURO;IT;2016-10-27;Ret-E
AA24316-EURO;IT;2016-10-27;Ret-E
AA26655-EURO;NULL;2017-04-04;Ret-E
AA2672-EURO;IT;2003-12-18;Ret-E
AA28621-EURO;IT;2017-09-26;Ret-E
AA28650-EURO;IT;2017-09-27;Ret-E
AA24327-EURO;IT;2016-10-27;Ret-E
AA24448-EURO;IT;2016-11-03;Ret-E
AA26749-EURO;IT;2017-04-11;Ret-E
AA22820-EURO;IT;2016-05-27;Ret-E
AA22845-EURO;IT;2016-05-31;Ret-E
AA28747-EURO;IT;2017-10-06;Ret-E
AA28753-EURO;IT;2017-10-07;Ret-E
AA28770-EURO;IT;2017-10-09;Ret-E
AA24581-EURO;IT;2016-11-18;Ret-E
AA26923-EURO;IT;2017-04-26;Ret-E
AA22948-EURO;IT;2016-06-07;Ret-E
AA28799-EURO;IT;2017-10-11;Ret-E
AA28827-EURO;IT;2017-10-12;Ret-E
AA28859-EURO;IT;2017-10-17;Ret-E
AA24629-EURO;IT;2016-11-22;Ret-E
AA23122-EURO;IT;2016-06-27;Ret-E
AA28914-EURO;IT;2017-10-20;Ret-E
AA252-EURO;IT;2000-12-18;Ret-E
AA23180-EURO;IT;2016-07-02;Ret-E
AA23242-EURO;IT;2016-07-12;Ret-E
AA29030-EURO;IT;2017-11-04;Ret-E
AA29040-EURO;IT;2017-11-06;Ret-E
AA29148-EURO;IT;2017-11-14;Ret-E
AA2546-EURO;IT;2003-10-06;Ret-E
AA2552-EURO;IT;2003-10-09;Ret-E
AA25569-EURO;IT;2016-12-27;Ret-E
AA23331-EURO;IT;2016-07-22;Ret-E
AA29259-EURO;IT;2017-11-22;Ret-E
AA27422-EURO;IT;2017-06-01;Ret-E
AA29343-EURO;IT;2017-11-30;Ret-E
AA29346-EURO;IT;2017-11-30;Ret-E
AA29368-EURO;IT;2017-12-02;Ret-N
AA25697-EURO;IT;2017-01-14;Ret-E
AA25732-EURO;IT;2017-01-18;Ret-E
AA25838-EURO;IT;2017-01-28;Ret-E
AA27698-EURO;IT;2017-06-19;Ret-E
AA25914-EURO;IT;2017-02-01;Ret-E
AA25915-EURO;IT;2017-02-01;Ret-E
AA25945-EURO;IT;2017-02-06;Ret-E
AA27818-EURO;IT;2017-06-28;Ret-E
AA23691-EURO;IT;2016-09-08;Ret-E
AA23739-EURO;IT;2016-09-14;Ret-E
AA29741-EURO;IT;2018-01-04;Ret-E
AA29743-EURO;IT;2018-01-04;Ret-E
AA29821-EURO;IT;2018-01-12;Ret-E
AA25964-EURO;IT;2017-02-08;Ret-E
AA26012-EURO;IT;2017-02-09;Ret-E
AA2605-EURO;IT;2003-11-11;Ret-E
AA27962-EURO;IT;2017-07-10;Ret-N
AA28011-EURO;IT;2017-07-17;Ret-E
AA23805-EURO;IT;2016-09-21;Ret-E
AA23820-EURO;IT;2016-09-22;Ret-E
AA29861-EURO;GB;2018-01-16;Ret-E
AA29869-EURO;SE;2018-01-17;Ret-E
AA29882-EURO;IT;2018-01-17;Ret-E
AA29890-EURO;IT;2018-01-18;Ret-E
AA29895-EURO;IT;2018-01-18;Res
AA29915-EURO;IT;2018-01-19;Res
AA29936-EURO;IT;2018-01-21;Ret-E
AA29939-EURO;IT;2018-01-22;Ret-N
AA29945-EURO;IT;2018-01-23;Ret-E
AA29946-EURO;IT;2018-01-24;Ret-E
AA26090-EURO;IT;2017-02-14;Ret-E
AA26115-EURO;MT;2017-02-15;obp
AA26189-EURO;IT;2017-02-21;Ret-E
AA31807-EURO;IT;2018-06-12;Ret-E
AA31851-EURO;IT;2018-06-14;Ret-E
AA31876-EURO;IT;2018-06-18;Ret-E
AA31884-EURO;CH;2018-06-18;Ret-E
AA36971-EURO;SE;2019-06-14;Ret-N
AA36978-EURO;IT;2019-06-14;Ret-E
AA33639-EURO;IT;2018-11-28;Ret-E
AA30054-EURO;IT;2018-01-31;Ret-E
AA30111-EURO;IT;2018-02-05;Ret-E
AA35307-EURO;IT;2019-03-22;Ret-N
AA33698-EURO;IT;2018-12-04;Ret-N
AA33704-EURO;IT;2018-12-05;Ret-E
AA33740-EURO;IT;2018-12-10;Ret-E
AA33743-EURO;IT;2018-12-11;Ret-E
AA33744-EURO;IT;2018-12-11;Ret-E
AA33810-EURO;IT;2018-12-13;Ret-E
AA30149-EURO;IT;2018-02-07;Ret-E
AA30222-EURO;IT;2018-02-09;Ret-N
AA30234-EURO;IT;2018-02-12;Ret-E
AA35326-EURO;IT;2019-03-23;Ret-N
AA32039-EURO;IT;2018-07-03;Ret-E
AA33862-EURO;IT;2018-12-18;Ret-E
AA33866-EURO;IT;2018-12-18;Ret-E
AA33873-EURO;IT;2018-12-19;Ret-N
AA35446-EURO;IT;2019-03-30;Ret-E
AA35524-EURO;IT;2019-04-05;Ret-E
AA35564-EURO;IT;2019-04-06;Ret-E
AA33995-EURO;IT;2019-01-02;Ret-E
AA35594-EURO;IT;2019-04-08;Ret-E
AA35598-EURO;IT;2019-04-08;Ret-E
AA35615-EURO;IT;2019-04-09;Ret-N
AA35638-EURO;IT;2019-04-11;Ret-N
AA35648-EURO;IT;2019-04-11;Ret-E
AA32336-EURO;IT;2018-08-07;Ret-E
AA34009-EURO;IT;2019-01-03;Ret-E
AA34012-EURO;IT;2019-01-04;Ret-E
AA34039-EURO;IT;2019-01-06;Ret-E
AA34049-EURO;PL;2019-01-07;Ret-E
AA3405-EURO;IT;2005-03-07;Ret-E
AA3049-EURO;IT;2004-07-13;Ret-E
AA30546-EURO;IT;2018-03-08;Ret-E
AA30597-EURO;IT;2018-03-09;Ret-E
AA30604-EURO;IT;2018-03-10;Ret-E
AA30621-EURO;IT;2018-03-11;Ret-E
AA30777-EURO;IT;2018-03-20;Ret-E
AA35783-EURO;IT;2019-04-23;Ret-N
AA35804-EURO;IT;2019-04-24;Ret-N
AA32476-EURO;IT;2018-09-04;Ret-E
AA32486-EURO;IT;2018-09-04;Ret-N
AA32489-EURO;IT;2018-09-05;Ret-N
AA32502-EURO;IT;2018-09-05;Ret-E
AA32636-EURO;IT;2018-09-13;Ret-E
AA32643-EURO;IT;2018-09-13;Ret-E
AA32675-EURO;IT;2018-09-16;Ret-N
AA32682-EURO;IT;2018-09-18;Ret-E
AA34329-EURO;IT;2019-01-22;Ret-E
AA30994-EURO;IT;2018-04-02;Ret-E
AA31004-EURO;IT;2018-04-03;Ret-E
AA31014-EURO;IT;2018-04-04;Ret-E
AA31039-EURO;IT;2018-04-04;Ret-E
AA3601-EURO;IT;2005-05-30;Ret-E
AA36014-EURO;IT;2019-05-13;Ret-E
AA36023-EURO;IT;2019-05-13;Ret-E
AA32758-EURO;IT;2018-09-26;Ret-E
AA32819-EURO;SE;2018-10-02;Ret-E
AA34426-EURO;IT;2019-01-28;Ret-E
AA31068-EURO;IT;2018-04-06;Ret-E
AA31144-EURO;IT;2018-04-12;Ret-E
AA36085-EURO;IT;2019-05-16;Ret-N
AA32825-EURO;IT;2018-10-03;Ret-E
AA32839-EURO;IT;2018-10-05;Ret-E
AA32875-EURO;IT;2018-10-08;Ret-E
AA32902-EURO;IT;2018-10-10;Ret-N
AA3450-EURO;IT;2005-04-04;Res
AA34506-EURO;IT;2019-02-01;Ret-E
AA31206-EURO;IT;2018-04-18;Ret-E
AA31273-EURO;IT;2018-04-21;Ret-E
AA31285-EURO;IT;2018-04-23;Ret-E
AA36144-EURO;IT;2019-05-20;Ret-E
AA32926-EURO;DE;2018-10-12;Ret-E
AA32942-EURO;IT;2018-10-15;Ret-E
AA31338-EURO;IT;2018-04-30;Ret-E
AA31368-EURO;IT;2018-05-04;Ret-E
AA31371-EURO;IT;2018-05-04;Ret-N
AA36280-EURO;IT;2019-05-27;Ret-E
AA34634-EURO;IT;2019-02-12;Ret-N
AA34636-EURO;IT;2019-02-12;Ret-E
AA3469-EURO;IT;2005-04-11;Ret-E
AA36424-EURO;IT;2019-05-30;Ret-E
AA36441-EURO;IT;2019-05-30;Ret-N
AA36455-EURO;IT;2019-05-30;Ret-E
AA36470-EURO;IT;2019-05-31;Ret-E
AA36472-EURO;IT;2019-05-31;Ret-N
AA33179-EURO;IT;2018-11-05;Ret-E
AA34781-EURO;IT;2019-02-21;Ret-E
AA34790-EURO;IT;2019-02-22;Ret-E
AA31532-EURO;IT;2018-05-16;Ret-E
AA31614-EURO;IT;2018-05-21;Ret-E
AA36511-EURO;IT;2019-06-02;Ret-N
AA36597-EURO;SE;2019-06-04;Ret-E
AA33338-EURO;IT;2018-11-19;Ret-E
AA34844-EURO;IT;2019-02-25;Ret-N
AA31678-EURO;IT;2018-05-26;Ret-E
AA36656-EURO;IT;2019-06-05;Ret-E
AA36718-EURO;IT;2019-06-07;Ret-N
AA33401-EURO;IT;2018-11-20;Ret-E
AA33423-EURO;IT;2010-05-28;Ret-E
AA33424-EURO;IT;2008-11-09;Ret-E
ALR202-EURO;IT;2013-05-25;Res
ALT344-EURO;IT;2018-09-28;Ret-N
ALT348-EURO;IT;2018-10-23;Ret-E
ALT356-EURO;IT;2019-01-22;Ret-E
AM1181-EURO;IT;2001-10-16;Ret-E
AM15337-EURO;IT;2006-09-27;Ret-E
AL5820-EURO;IT;2006-05-02;Ret-E
AL5831-EURO;IT;2006-05-11;Ret-E
AL5907-EURO;IT;2006-06-20;Ret-E
AL8255-EURO;IT;2008-12-19;Ret-E
AL8375-EURO;IT;2009-01-26;Res
AL8388-EURO;IT;2009-01-27;Ret-E
ALR577-EURO;IT;2018-04-10;Ret-E
AM11874-EURO;IT;2005-12-06;Ret-E
AM11963-EURO;IT;2005-12-09;Ret-E
AM11966-EURO;IT;2005-12-09;Ret-E
AM12036-EURO;IT;2005-12-13;Ret-E
AM1217-EURO;IT;2001-11-03;Ret-E
AM15400-EURO;IT;2006-10-05;Ret-E
AL6061-EURO;IT;2006-09-13;Ret-E
AL6092-EURO;IT;2006-10-05;Ret-E
AL8615-EURO;IT;2009-04-07;Ret-E
AL8627-EURO;IT;2009-04-14;Ret-E
ALB434-EURO;IT;2021-06-01;Ret-E
ALB463-EURO;IT;2021-10-30;Ret-E
ALG759-EURO;IT;2022-05-18;Ret-E
ALM308-EURO;IT;2013-02-26;Ret-E
ALM309-EURO;IT;2013-03-21;Ret-E
ALM315-EURO;IT;2013-04-19;Ret-E
ALM343-EURO;IT;2014-11-09;Ret-E
ALM351-EURO;IT;2015-03-06;Ret-E
ALR587-EURO;IT;2018-05-16;Ret-E
ALR604-EURO;IT;2018-07-23;Ret-N
ALR656-EURO;IT;2019-05-20;Ret-E
AM12190-EURO;IT;2005-12-19;Ret-E
AM12221-EURO;IT;2005-12-21;Ret-E
AM12227-EURO;IT;2005-12-21;Ret-E
AM15507-EURO;IT;2006-10-23;Ret-E
AM15547-EURO;IT;2006-10-28;Ret-E
AL6116-EURO;IT;2006-10-19;Ret-E
ALB553-EURO;IT;2022-11-22;Ret-E
ALD178-EURO;IT;2018-10-21;Ret-E
ALD241-EURO;IT;2020-05-19;Ret-N
ALM457-EURO;GB;2017-07-03;Ret-E
ALM473-EURO;IT;2017-09-13;Ret-E
ALM496-EURO;IT;2017-10-27;Ret-E
ALP331-EURO;IT;2011-09-14;Ret-E
ALP389-EURO;IT;2014-07-08;Ret-E
ALP437-EURO;IT;2016-04-01;Ret-E
ALR700-EURO;IT;2019-09-11;Ret-E
ALR810-EURO;IT;2020-04-25;Ret-E
ALTM1-EURO;IT;2013-05-28;Ret-E
AM12409-EURO;IT;2006-01-16;Ret-E
AM1241-EURO;IT;2001-11-11;Ret-E
AL1881-EURO;IT;2004-01-18;Ret-E
AL1920-EURO;IT;2004-02-14;Ret-E
AL2019-EURO;IT;2004-05-14;Ret-E
AL6310-EURO;IT;2007-01-16;Res
AL6326-EURO;IT;2007-01-24;Ret-E
AL8916-EURO;IT;2009-07-11;Ret-E
ALB75-EURO;IT;2006-09-01;Ret-E
ALD3-EURO;IT;2001-06-14;Res
ALD312-EURO;IT;2022-10-28;Ret-N
ALM508-EURO;IT;2018-02-09;Ret-E
ALM528-EURO;MC;2018-03-29;Ret-E
ALM573-EURO;IT;2018-09-05;Ret-E
ALP458-EURO;IT;2016-06-07;Ret-E
ALP539-EURO;IT;2017-09-12;Ret-E
ALR876-EURO;IT;2020-09-20;Ret-E
ALV232-EURO;IT;2018-05-14;Ret-E
AM15807-EURO;IT;2006-11-22;Ret-E
AL6407-EURO;IT;2007-02-21;Ret-E
AL6467-EURO;IT;2007-03-23;Ret-E
AL9148-EURO;IT;2009-09-29;Ret-E
AL9197-EURO;IT;2009-10-07;Ret-E
ALBE4-EURO;IT;2022-03-28;Ret-N
ALDC35-EURO;IT;2015-06-11;Ret-E
ALM589-EURO;IT;2018-12-04;Ret-E
ALM646-EURO;GB;2019-05-28;Ret-E
ALM662-EURO;IT;2019-07-10;Res
ALRM2-EURO;IT;2010-01-21;Ret-E
ALS1000-EURO;IT;2022-06-07;Ret-E
ALV295-EURO;IT;2021-01-05;Ret-E
AM15934-EURO;IT;2006-12-08;Ret-E
AM15980-EURO;IT;2006-12-14;Ret-E
ALM667-EURO;IT;2019-07-31;Ret-E
ALP667-EURO;IT;2019-02-26;Ret-E
ALP703-EURO;IT;2019-04-29;Ret-N
ALV329-EURO;IT;2021-09-30;Ret-E
AM13116-EURO;IT;2006-03-17;Ret-E
AM16054-EURO;IT;2006-12-28;Ret-E
AM16057-EURO;AR;2006-12-29;Ret-E
AM16133-EURO;IT;2007-01-10;Ret-E
AL2382-EURO;IT;2005-05-09;Ret-E
AL6700-EURO;IT;2007-07-13;Ret-E
AL6788-EURO;IT;2007-08-31;Ret-E
AL9466-EURO;IT;2010-01-25;Ret-E
ALDS157-EURO;IT;2018-03-23;Ret-E
ALDS174-EURO;IT;2020-01-15;Ret-E
ALM8-EURO;IT;2000-12-05;Ret-E
ALM819-EURO;IT;2020-07-22;Ret-N
ALM835-EURO;IT;2020-09-22;Ret-N
ALP809-EURO;IT;2020-03-29;Ret-N
AM1617-EURO;IT;2000-02-17;Ret-E
AL6853-EURO;IT;2007-09-20;Ret-E
ALC136-EURO;IT;2008-11-24;Ret-E
ALC174-EURO;IT;2009-07-07;Ret-E
