product_id;product_code;product_desc;product_subgroup_desc;product_group_desc;product_subcat_desc;product_cat_desc
30262;regconsulting;Domain;Domain Names;Domainnames;Domain Names;Domains
37581;regwork;Domain;Domain Names;Domainnames;Domain Names;Domains
37582;domglass;Domain;Domain Names;Domainnames;Domain Names;Domains
37583;domhouse;Domain;Domain Names;Domainnames;Domain Names;Domains
37587;dominstitute;Domain;Domain Names;Domainnames;Domain Names;Domains
37822;regspace;Domain;Domain Names;Domainnames;Domain Names;Domains
38102;domluxury;Domain;Domain Names;Domainnames;Domain Names;Domains
38141;o365_bus_ess3;Office Online 3 licenze;Office 365;Office 365;Communication;Applications
38142;o365_bus_ess5;Office Online 5 licenze;Office 365;Office 365;Communication;Applications
38781;regmoney;Domain;Domain Names;Domainnames;Domain Names;Domains
39181;dompics;Domain;Domain Names;Domainnames;Domain Names;Domains
39222;domparis;domparis;Domain Names;Domainnames;Domain Names;Domains
39349;domlondon;Domain;Domain Names;Domainnames;Domain Names;Domains
47881;domcountry;Domain;Domain Names;Domainnames;Domain Names;Domains
48023;domtoys;Domain;Domain Names;Domainnames;Domain Names;Domains
48141;regshow;Domain;Domain Names;Domainnames;Domain Names;Domains
48162;domplace;Domain;Domain Names;Domainnames;Domain Names;Domains
48681;domvet;domvet;Domain Names;Domainnames;Domain Names;Domains
49121;domhealthcare;Domain;Domain Names;Domainnames;Domain Names;Domains
49241;domclick;Domain;Domain Names;Domainnames;Domain Names;Domains
49261;domrestaurant;Domain;Domain Names;Domainnames;Domain Names;Domains
49281;domdirect;Domain;Domain Names;Domainnames;Domain Names;Domains
49501;cpanelapppresta10;cpanelapppresta10;Website Hosting;Website hosting;Basic Hosting;Hosting
49721;domsoy;Domain;Domain Names;Domainnames;Domain Names;Domains
49761;domwien;Domain;Domain Names;Domainnames;Domain Names;Domains
65788;cdcb63f;POSTA ELETTRONICA EMAILPRO BUSINESS;Basic E-mail;Business E-mail;Communication;Applications
65790;cdcb83f;POSTA ELETTRONICA EMAILPRO BASIC;Basic E-mail;Business E-mail;Communication;Applications
84501;duda_20;Simply Site Professional;SiteBuilder;SiteBuilder;Other Applications;Applications
96242;chgfinancial;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
96561;chgsexy;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
114681;sslcert_inst_ov_wc;SSL Certificate InstantSSL OV Wildcard;SSL certificates;SSL certificates;SSL certificates;Hosting
136622;ass_ms365_custom;Microsoft 365 Custom;Office 365;Office 365;Communication;Applications
61361;deds2up_ipv4_1free;deds2up_ipv4_1free;Other add-on services;Other add-on services;Other add-on services;Other
61362;deds2_ds431_2;deds2_ds431_2;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
61661;deds2_dellds63_2;Dell PowerEdge R230;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
61662;deds2up_ipv4_4free;4 indirizzi IPv4;Other add-on services;Other add-on services;Other add-on services;Other
62202;chgownacademy;Change Ownership;Domain services;Domain services;Domain Names;Domains
62881;chgstore;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
68461;sdomtv;Basic Domain;Domain Names;Domainnames;Domain Names;Domains
70721;efree_fee_ecommerce;Mantenimento annuale Sito Web COMMERCE;Consultancy services;Consultancy services;Consultancy services;Other
72961;chgfinance;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
99861;deds2up_w12_8c_std;deds2up_w12_8c_std;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
138981;hypvvps2_xxl_6;VPS XXL - SSD6;Virtual Private Servers;Virtual Private Servers;Cloud computing VPS;Hosting
138982;hypvvps2up_cpu32;32 vCpu;Virtual Private Servers;Virtual Private Servers;Cloud computing VPS;Hosting
138983;hypvvps2up_hdd500;Hard disk 500 GB;Virtual Private Servers;Virtual Private Servers;Cloud computing VPS;Hosting
138984;hypvvps2up_ram64;Ram 64 GB;Virtual Private Servers;Virtual Private Servers;Cloud computing VPS;Hosting
56321;domwine;Domain;Domain Names;Domainnames;Domain Names;Domains
71141;sdompl;Domain Express;Domain Names;Domainnames;Domain Names;Domains
110201;deds4up_band_un_30;Traffico Illimitato;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
110202;deds4up_ram4_16;16GB DDR4 ECC LP;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
110203;deds4up_ssd_1000;Hard Disk 1TB SSD;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
80681;deds2up_ram_ddr4_256;RAM 256 GB DDR4;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
53641;domcasa;Domain;Domain Names;Domainnames;Domain Names;Domains
62261;domski;Domain;Domain Names;Domainnames;Domain Names;Domains
52441;regcloud;Pack Domain;Domain Names;Domainnames;Domain Names;Domains
1030;chgcompa;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
1032;chgcompl;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
1044;chginfo2;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
190;chgru;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
199;chgsi;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
201;chgsk;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
757;chgnet;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
758;chgorg;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
760;chgpro;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
763;chgxxx;Transfer of Registrar;Registry Services;Domain services;Domain Names;Domains
767;dombiz;Domain;Domain Names;Domainnames;Domain Names;Domains
768;domcat;Domain;Domain Names;Domainnames;Domain Names;Domains
771;domcom;Domain;Domain Names;Domainnames;Domain Names;Domains
779;domnet;Domain;Domain Names;Domainnames;Domain Names;Domains
780;domorg;Domain;Domain Names;Domainnames;Domain Names;Domains
781;dompro;Domain;Domain Names;Domainnames;Domain Names;Domains
783;domtel;Domain;Domain Names;Domainnames;Domain Names;Domains
790;domxxx;Domain;Domain Names;Domainnames;Domain Names;Domains
791;email2;2 email addresses with Domain Pro;Basic E-mail;Business E-mail;Communication;Applications
793;email5;5 email addresses;Basic E-mail;Business E-mail;Communication;Applications
30743;dedsup_hdd480ssdv2;dedsup_hdd480ssdv2;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
31081;regbio;Domain;Domain Names;Domainnames;Domain Names;Domains
31281;reggratis;Domain;Domain Names;Domainnames;Domain Names;Domains
31541;hypvlcup_hdd20gb;hypvlcup_hdd20gb;Virtual Private Servers;Virtual Private Servers;Cloud computing VPS;Hosting
31681;regdigital;Domain;Domain Names;Domainnames;Domain Names;Domains
31902;emailsh1ox0q2;1 Indirizzo email 2GB di spazio su dominio condiviso;Basic E-mail;Business E-mail;Communication;Applications
35941;domcareers;Domain;Domain Names;Domainnames;Domain Names;Domains
35981;domsolutions;Domain;Domain Names;Domainnames;Domain Names;Domains
36601;email3ox2q10;3 email Pro addresses 10GB of space;E-mail Hosting Options;Business E-mail;Communication;Applications
36841;o365_bus_ess1;Office Online 1 user;Office 365;Office 365;Communication;Applications
37383;regenergy;Domain;Domain Names;Domainnames;Domain Names;Domains
37441;dombeer;Domain;Domain Names;Domainnames;Domain Names;Domains
37661;domclub;Domain;Domain Names;Domainnames;Domain Names;Domains
44141;cpanelmono30;Hosting Cpanel Enterprise;Website Hosting;Website hosting;Basic Hosting;Hosting
45121;domreisen;Domain;Domain Names;Domainnames;Domain Names;Domains
46081;domclinic;Domain;Domain Names;Domainnames;Domain Names;Domains
46082;domdental;Domain;Domain Names;Domainnames;Domain Names;Domains
46083;domsurgery;Domain;Domain Names;Domainnames;Domain Names;Domains
46181;domwtf;domwtf;Domain Names;Domainnames;Domain Names;Domains
46421;regteam;Domain;Domain Names;Domainnames;Domain Names;Domains
46701;regtech;Domain;Domain Names;Domainnames;Domain Names;Domains
46902;domdigital;Domain;Domain Names;Domainnames;Domain Names;Domains
46903;domglobal;Domain;Domain Names;Domainnames;Domain Names;Domains
46904;dompress;Domain;Domain Names;Domainnames;Domain Names;Domains
47541;regdog;Domain;Domain Names;Domainnames;Domain Names;Domains
48541;chgbusiness;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
100861;certmailsh_1gb;Casella PEC Agile 1GB;Certified E-mail;Business E-mail;Communication;Applications
110421;deds2_dellsf25;Dell PowerEdge T130;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
110681;domsport;Domain;Domain Names;Domainnames;Domain Names;Domains
65564;domearth;Domain;Domain Names;Domainnames;Domain Names;Domains
66481;chgowncreditcard;Change Ownership;Registry Services;Domain services;Domain Names;Domains
66483;chgowncredit;Change Ownership;Domain services;Domain services;Domain Names;Domains
75021;domgmbh;Domain;Domain Names;Domainnames;Domain Names;Domains
76542;spid_cf;SpidItalia dei cittadini;Other add-on services;Other add-on services;Other add-on services;Other
54281;domcareer;Domain;Domain Names;Domainnames;Domain Names;Domains
60363;regstore;Domain;Domain Names;Domainnames;Domain Names;Domains
88101;design_simply_smart;SimplySite - Design Smart;Consultancy services;Consultancy services;Consultancy services;Other
80401;deds2up_c_i3_2100;Intel® Core™ i3-2100 CPU @ 3.10GHz;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
114761;sslcert_sec_ev;SSL Certificate SectigoSSL EV;SSL certificates;SSL certificates;SSL certificates;Hosting
117041;spid_eidup_cf;SpidItalia uso professionale persona fisica;Other add-on services;Other add-on services;Other add-on services;Other
53501;deds2up_ram_ddr4_128;deds2up_ram_ddr4_128;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
56721;domcloud;Domain;Domain Names;Domainnames;Domain Names;Domains
97281;domcomjo;Domain;Domain Names;Domainnames;Domain Names;Domains
101102;deds2_dellsf15;Dell PowerEdge R210 II;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
109461;assprem_infocert;Posta Certificata - Spazio aggiuntivo 2 GB;Certified E-mail;Business E-mail;Communication;Applications
114641;mobile_sync;Mobile Sync;E-mail Hosting Options;Business E-mail;Communication;Applications
105561;spid_assistenza;Fornitura servizi di assistenza correlata al prodotto Spid;Other add-on services;Other add-on services;Other add-on services;Other
114642;sslcert_sec_dv;sslcert_sec_dv;SSL certificates;SSL certificates;SSL certificates;Hosting
115102;deds2_dellsf47;Dell PowerEdge R240;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
115103;deds2up_c_xe3_2134;Intel® Xeon® CPU E3-2134 @ 3.5GHz;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
58641;domtech;Domain;Domain Names;Domainnames;Domain Names;Domains
61142;domfit;Domain;Domain Names;Domainnames;Domain Names;Domains
5;chgae;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
16;chgat;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
23;chgbe;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
530;regbr;Domain;Domain Names;Domainnames;Domain Names;Domains
542;regch;Domain;Domain Names;Domainnames;Domain Names;Domains
545;regcl;Domain;Domain Names;Domainnames;Domain Names;Domains
547;regcn;Domain;Domain Names;Domainnames;Domain Names;Domains
548;regco;Domain;Domain Names;Domainnames;Domain Names;Domains
553;regcy;Domain;Domain Names;Domainnames;Domain Names;Domains
554;regcz;Domain;Domain Names;Domainnames;Domain Names;Domains
555;regde;Domain;Domain Names;Domainnames;Domain Names;Domains
557;regdk;Domain;Domain Names;Domainnames;Domain Names;Domains
559;regdo;Domain;Domain Names;Domainnames;Domain Names;Domains
562;regee;Domain;Domain Names;Domainnames;Domain Names;Domains
1599;chgowninfo;Change Ownership;Domain services;Domain services;Domain Names;Domains
1602;chgownmobi;Change Ownership;Domain services;Domain services;Domain Names;Domains
1603;chgownname;Change Ownership;Domain services;Domain services;Domain Names;Domains
1620;dphwin_var;Windows Dedicated Server;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
1627;hostndlx20;Hosting Personal Linux;Shared hosting;Shared hosting;Shared hosting;Hosting
1628;hostndlx50;Hosting Developer Linux;Shared hosting;Shared hosting;Shared hosting;Hosting
1629;hostndws50;Hosting Developer Windows;Website Hosting;Website hosting;Basic Hosting;Hosting
1505;chgownxxx;Change Ownership;Domain services;Domain services;Domain Names;Domains
23381;regland;Domain;Domain Names;Domainnames;Domain Names;Domains
33961;chgownbio;Change Ownership;Domain services;Domain services;Domain Names;Domains
35102;dombike;dombike;Domain Names;Domainnames;Domain Names;Domains
35642;domconstruction;Domain;Domain Names;Domainnames;Domain Names;Domains
36301;spepack_soc_custom;Social Adv custom;Other add-on services;Other add-on services;Other add-on services;Other
36901;email100ox2q10;100 email Pro addresses 10GB of space;E-mail Hosting Options;Business E-mail;Communication;Applications
36902;email100ox2q2;100 email Pro addresses 2GB of space;E-mail Hosting Options;Business E-mail;Communication;Applications
36903;email100ox2q5;100 email Pro addresses 5GB of space;E-mail Hosting Options;Business E-mail;Communication;Applications
36904;email10ox2q2;10 email Pro addresses 2GB of space;E-mail Hosting Options;Business E-mail;Communication;Applications
36905;email1ox2q10;1 email Pro address 10GB of space;E-mail Hosting Options;Business E-mail;Communication;Applications
36906;email1ox2q2;1 email Pro address 2GB of spa;E-mail Hosting Options;Business E-mail;Communication;Applications
50723;deds2up_ram_ddr3_8;RAM 8 GB DDR3;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
50724;deds2up_hdd_2s_1000;Hard Disk 1 TB 2.5 SATA;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
50725;deds2up_ipv4_4;4 additional IPv4 address;Other add-on services;Other add-on services;Other add-on services;Other
51041;deds2up_portspeed1gb;deds2up_portspeed1gb;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
51042;deds2up_raid_c_10;deds2up_raid_c_10;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
51442;deds2up_raid_h710m;deds2up_raid_h710m;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
51443;deds2_dellds651;deds2_dellds651;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
51444;deds2up_c_xe5_2430;deds2up_c_xe5_2430;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
51561;deds2up_hdd_3s_2000;deds2up_hdd_3s_2000;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
51681;domadult;Domain;Domain Names;Domainnames;Domain Names;Domains
51682;domporn;Domain;Domain Names;Domainnames;Domain Names;Domains
51761;domworld;domworld;Domain Names;Domainnames;Domain Names;Domains
130646;domorgcn;Domain;Domain Names;Domainnames;Domain Names;Domains
130648;locpreske;presenza locale .ke per il dominio $domains{domain};Domain services;Domain services;Domain Names;Domains
130801;spid_power;SpidPower - area riservata e assistenza;Other add-on services;Other add-on services;Other add-on services;Other
131387;dmndsmtpsvr;fornitura, gestione e manutenzione mensile server virtuale con funzionalità smtp commagents.com;Virtual Private Servers;Virtual Private Servers;Cloud computing VPS;Hosting
131388;locconmr;Local contact .mr  for domain  $domains{domain};Domain services;Domain services;Domain Names;Domains
131406;dmndextracscasia;maggiorazione csc;Domain services;Domain services;Domain Names;Domains
130884;locpressa;presenza locale .sa per il dominio $domains{domain};Domain services;Domain services;Domain Names;Domains
54962;deds2up_rds_cal5;deds2up_rds_cal5;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
59741;backup_srv_1000gb;Backup Server 1TB;Backup and security;Backup and security;Professional Hosting;Hosting
65141;domstudio;Domain;Domain Names;Domainnames;Domain Names;Domains
56161;regnavy;Domain;Domain Names;Domainnames;Domain Names;Domains
67501;domfamily;Domain;Domain Names;Domainnames;Domain Names;Domains
67502;domvin;Domain;Domain Names;Domainnames;Domain Names;Domains
67881;sfera_virtual_hk;Virtual Server (Hong Kong);Virtual Private Servers;Virtual Private Servers;Cloud computing VPS;Hosting
122281;backup_acr_50gb;Acronis Cyber Backup 50GB;Backup and security;Backup and security;Professional Hosting;Hosting
54163;domtours;Domain;Domain Names;Domainnames;Domain Names;Domains
54901;domwork;domwork;Domain Names;Domainnames;Domain Names;Domains
55281;domreport;Domain;Domain Names;Domainnames;Domain Names;Domains
56164;efree_annualfee;èfree annual fee;Consultancy services;Consultancy services;Consultancy services;Other
61421;domtaxi;Domain;Domain Names;Domainnames;Domain Names;Domains
61823;deds2_dellds30_2;Dell PowerEdge R210 II;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
64421;o365_bus_prem25;Office Premium 25 licenze;Office 365;Office 365;Communication;Applications
135701;hypvvps2up_plsk30;Plesk 30 domains;Virtual Private Servers;Virtual Private Servers;Cloud computing VPS;Hosting
58221;domapartments;Domain;Domain Names;Domainnames;Domain Names;Domains
63321;deds2up_ram_ddr4_8;deds2up_ram_ddr4_8;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
63901;reggmbh;Domain;Domain Names;Domainnames;Domain Names;Domains
989;sdom2eu;Domain+;Domain Names;Domainnames;Domain Names;Domains
990;sdom2it;Domain+;Domain Names;Domainnames;Domain Names;Domains
992;sdomcom;Domain;Domain Names;Domainnames;Domain Names;Domains
993;sdomnet;Domain;Domain Names;Domainnames;Domain Names;Domains
994;sdomorg;Domain;Domain Names;Domainnames;Domain Names;Domains
998;sregbiz;Domain;Domain Names;Domainnames;Domain Names;Domains
1000;sregcom;Domain;Domain Names;Domainnames;Domain Names;Domains
1001;sregnet;Domain;Domain Names;Domainnames;Domain Names;Domains
1002;sregorg;Domain;Domain Names;Domainnames;Domain Names;Domains
1012;asstel60;Assistance by phone - 60 minutes;Other add-on services;Other add-on services;Other add-on services;Other
1013;authsmtp;Authenticated SMTP;Basic E-mail;Business E-mail;Communication;Applications
1014;certmail;PEC Professional;Certified E-mail;Business E-mail;Communication;Applications
330;domgg;Domain;Domain Names;Domainnames;Domain Names;Domains
331;domgh;Domain;Domain Names;Domainnames;Domain Names;Domains
333;domgl;Domain;Domain Names;Domainnames;Domain Names;Domains
334;domgm;Domain;Domain Names;Domainnames;Domain Names;Domains
336;domgp;Domain;Domain Names;Domainnames;Domain Names;Domains
338;domgr;Domain;Domain Names;Domainnames;Domain Names;Domains
340;domgt;Domain;Domain Names;Domainnames;Domain Names;Domains
343;domgy;Domain;Domain Names;Domainnames;Domain Names;Domains
344;domhk;Domain;Domain Names;Domainnames;Domain Names;Domains
347;domhr;Domain;Domain Names;Domainnames;Domain Names;Domains
349;domhu;Domain;Domain Names;Domainnames;Domain Names;Domains
350;domid;Domain;Domain Names;Domainnames;Domain Names;Domains
351;domie;Domain;Domain Names;Domainnames;Domain Names;Domains
352;domil;Domain;Domain Names;Domainnames;Domain Names;Domains
353;domim;Domain;Domain Names;Domainnames;Domain Names;Domains
354;domin;Domain;Domain Names;Domainnames;Domain Names;Domains
355;domio;Domain;Domain Names;Domainnames;Domain Names;Domains
357;domir;Domain;Domain Names;Domainnames;Domain Names;Domains
358;domis;Domain;Domain Names;Domainnames;Domain Names;Domains
359;domit;Domain;Domain Names;Domainnames;Domain Names;Domains
363;domjp;Domain;Domain Names;Domainnames;Domain Names;Domains
364;domke;Domain;Domain Names;Domainnames;Domain Names;Domains
365;domkg;Domain;Domain Names;Domainnames;Domain Names;Domains
367;domki;Domain;Domain Names;Domainnames;Domain Names;Domains
1438;regcomvn;Domain;Domain Names;Domainnames;Domain Names;Domains
1442;reginfo2;Domain;Domain Names;Domainnames;Domain Names;Domains
1454;regnetco;Domain;Domain Names;Domainnames;Domain Names;Domains
1461;sdom2biz;Domain+;Domain Names;Domainnames;Domain Names;Domains
1463;sdom2com;Domain+;Domain Names;Domainnames;Domain Names;Domains
1464;sdom2net;Domain+;Domain Names;Domainnames;Domain Names;Domains
1465;sdom2org;Domain+;Domain Names;Domainnames;Domain Names;Domains
1466;sdominfo;Domain;Domain Names;Domainnames;Domain Names;Domains
2046;ecommerce_platinum;eCommerce Platinum;Webshop;Webshop;eCommerce;Applications
15484;deds_dellds15;Server Dell Dual DS1.5;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
15943;hypvup_cpu2;2 vCpu;Virtual Private Servers;Virtual Private Servers;Cloud computing VPS;Hosting
15944;hypvup_ram2gb;Ram 2 GB;Virtual Private Servers;Virtual Private Servers;Cloud computing VPS;Hosting
28944;regcards;Domain;Domain Names;Domainnames;Domain Names;Domains
28946;regindustries;Domain;Domain Names;Domainnames;Domain Names;Domains
28949;o365_exchange3;Email Exchange 3 licenze;Office 365;Office 365;Communication;Applications
29581;email2ox1q2;2 email addresses 2Gb of space;Basic E-mail;Business E-mail;Communication;Applications
36205;dommanagement;dommanagement;Domain Names;Domainnames;Domain Names;Domains
36302;domeducation;Domain;Domain Names;Domainnames;Domain Names;Domains
36303;domlink;Domain;Domain Names;Domainnames;Domain Names;Domains
36361;email10ox2q10;10 email Pro addresses 10GB of space;E-mail Hosting Options;Business E-mail;Communication;Applications
36362;chgsolutions;Transfer of Maintainer;Registry Services;Domain services;Domain Names;Domains
36521;domsupport;Domain;Domain Names;Domainnames;Domain Names;Domains
36882;domcab;Domain;Domain Names;Domainnames;Domain Names;Domains
37222;domcomputer;Domain;Domain Names;Domainnames;Domain Names;Domains
50081;regmoscow;Domain;Domain Names;Domainnames;Domain Names;Domains
50321;reglive;Domain;Domain Names;Domainnames;Domain Names;Domains
50341;email500ox1q2;500 email addresses 2GB of quota;Basic E-mail;Business E-mail;Communication;Applications
50544;chgownonline;Change Ownership;Registry Services;Domain services;Domain Names;Domains
50545;chgownwebsite;Change Ownership;Registry Services;Domain services;Domain Names;Domains
50581;regsrl;Domain;Domain Names;Domainnames;Domain Names;Domains
50643;deds2_ds431;Server DS 4.3.1;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
50644;deds2up_band_10tb;10 TB Bandwith;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
50645;deds2up_c_xe3_1226v3;Intel(R) Xeon(R) CPU E3-1226v3@ 3.30GHz;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
50646;deds2up_hdd_3s_1000;Hard Disk 1TB 3.5 SATA;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
50647;deds2up_ipv4_2;2 Indirizzi IPv4 aggiuntivi;Other add-on services;Other add-on services;Other add-on services;Other
50648;deds2up_plesk_free;Odin Plesk Web Admin (10 Domini) (Free);Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
50649;deds2up_raid_c_1;Raid 1;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
65421;sregtv;Domain Express;Domain Names;Domainnames;Domain Names;Domains
70921;spamvirnodom;Antivirus/ antispam protection on all the mail accounts of domain;Basic E-mail;Business E-mail;Communication;Applications
78642;domfun;Domain;Domain Names;Domainnames;Domain Names;Domains
82961;deds2up_ports1gb_sf;1 Gb/s Network Port;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
83022;sfera_virtual_it;Virtual Server (Italia);Virtual Private Servers;Virtual Private Servers;Cloud computing VPS;Hosting
83061;hypvvpsup_hdd160gb;hypvvpsup_hdd160gb;Virtual Private Servers add ons;Virtual Private Servers add ons;Cloud computing VPS;Hosting
83062;hypvvps_xl;hypvvps_xl;Virtual Private Servers;Virtual Private Servers;Cloud computing VPS;Hosting
83063;hypvvpsup_band25tb;hypvvpsup_band25tb;Virtual Private Servers add ons;Virtual Private Servers add ons;Cloud computing VPS;Hosting
84801;duda_30;Simply Site Premium;SiteBuilder;SiteBuilder;Other Applications;Applications
129304;dmndpec;casella di posta elettronica certificata da 1gb;Certified E-mail;Business E-mail;Communication;Applications
129305;dmndpeccert;certificazione dominio;Certified E-mail;Business E-mail;Communication;Applications
129306;dmndpecpec;casella di posta certificata pec su dominio pec.it da 1 gb;Certified E-mail;Business E-mail;Communication;Applications
61121;domgold;Domain;Domain Names;Domainnames;Domain Names;Domains
82521;domart;Domain;Domain Names;Domainnames;Domain Names;Domains
